idOrganizacion,IdProducto,PrdFechaRegistro,PrdTipoCertificacion,PrdProductoProcesoServicio,PrdDocumentoNormativo,PrdEsquemaCertificacion,PrdDivisionNace,PrdCodigoCpa,PrdVigenteApartirDe
30,CP-1,--,Productos,"Eficiencia energética para Hornos Microondas","RTE INEN 123:2014 Eficiencia Energética para Hornos microondas,IEC 60335-2-25:2020. Aparatos electrodomésticos y similares. Seguridad. Parte 2-25: Requisitos particulares para hornos microondas, incluidos los hornos microondas combinados","1a,5",--,--,--
30,CP-2,--,Productos,"Eficiencia energética en televisiones","RTE INEN 117:2014 Eficiencia Energética en Televisiones. Reporte de consumo de energía, Método de ensayo y etiquetado,IEC 62301:2011 Household electrical appliances. Measurement of standby power","5,1a",--,--,--
5,CP-3,--,Procesos,"Best  Aquaculture Practices Límite Territorial: Mundial","Requirements for Certification Bodies Offering Certification Against the Criteria of the Global Aquaculture Alliance Best Aquaculture Practices Standards Issue 14.10 18 August 2021,Finfish and Crustacean Farm Standard (FCFS) Issue 2.4 23 May 2017,BAP Farm Standard Issue 3.1 (07-02-2023),Salmon Farms Issue 2.4 (25-01-2023),BAP Mollusk Farm Standard Issue 1.2 (25-01-2023)",6,--,--,--
5,CP-4,--,Procesos,"GLOBALG.A.P. Limitación Territorial: Mundial","GLOBALG.A.P Aseguramiento Integrado de Fincas, IFA V5.4-1 GFS  Puntos de Control y Criterios de Cumplimento, V5.4-1 GFS",6,--,--,--
5,CP-5,--,Procesos,"GLOBALG.A.P. Limitación Territorial: Mundial","GLOBALG.A.P Aseguramiento Integrado de Fincas, IFA V5.4-1 GFS  Puntos de Control y Criterios de Cumplimento, V5.4-1 GFS",6,--,--,--
5,CP-6,--,Procesos,"GLOBALG.A.P. Limitación Territorial: Mundial","GLOBALG.A.P Aseguramiento Integrado de Fincas, IFA V5.2  Puntos de Control y Criterios de Cumplimento, V5.2",6,--,--,--
5,CP-7,--,Procesos,"GLOBALG.A.P. Limitación Territorial: Mundial","GLOBALG.A.P Aseguramiento Integrado de Fincas, IFA V5.2  Puntos de Control y Criterios de Cumplimento, V5.2",6,--,--,--
5,CP-8,--,Procesos,"Best  Aquaculture Practices Límite Territorial: Mundial","Requirements for Certification Bodies Offering Certification Against the Criteria of the Global Aquaculture Alliance Best Aquaculture Practices Standards Issue 14.10 18 August 2021,Feed Mills Issue 3.1 31 May 2022",6,--,--,--
5,CP-9,--,Procesos,"Best  Aquaculture Practices Límite Territorial: Mundial","Requirements for Certification Bodies Offering Certification Against the Criteria of the Global Aquaculture Alliance Best Aquaculture Practices Standards Issue 14.10 18 August 2021,Finfish, Crustacean and Mollusk Hatcheries andNurseries Issue 2.1 Enero 2023",6,--,--,--
319,CP-10,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-11,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-12,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-13,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-14,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
319,CP-15,--,Procesos,"Producción Orgánica","Instructivo de la Normativa General para Promover y Regular la Producción Orgánica - Ecológica - Biológica en el Ecuador. Resolución DAJ 20133ec 0201.0099, emitida el 30 de septiembre de 2013",6,--,--,--
777,CP-16,--,Productos,"Cocinas que utilizan combustibles gaseosos","RTE INEN 005 (2R):2020 Artefactos de uso doméstico para cocinar, que utilizan combustibles gaseosos,NTE INEN 2259:2013 Artefactos de uso doméstico para cocinar, que utilizan combustibles gaseosos. Requisitos e inspección","1a,5",--,--,--
777,CP-17,--,Productos,"Cocinas que utilizan combustibles gaseosos","Resolución No. 0899 del 31 de agosto de 2021. Ministerio de Comercio, Industria y Turismo de la República de Colombia. Reglamento Técnico para algunos Gasodomésticos que se fabriquen nacionalmente o importen, para ser comercializados en Colombia","1a,1b,5",--,--,--
777,CP-18,--,Productos,"Eficiencia energética en gasodomésticos para cocción de alimentos","Resolución Nro. 41012 del Ministerio de Minas y Energía de la República de Colombia del 18 de septiembre de 2015 y el Anexo General Reglamento Técnico de Etiquetado RETIQ,Resolución Nro. 40298 del 28 de marzo del 2018 publicada por el Ministerio de Minas y Energía de la República de Colombia,Resolución Nro. 40993 del 28 de septiembre del 2018 publicada por el Ministerio de Minas y Energía de la República de Colombia,Resolución Nro. 40247 de 31 de agosto de 2020 publicada por el Ministerio de Minas y Energía de la República de Colombia,Resolución Nro. 40099 de 26 de marzo de 2021 publicada por el Ministerio de Minas y Energía de la República de Colombia","1b,5",--,--,--
777,CP-19,--,Productos,"Refrigeradores y Congeladores","RTE INEN 009:2020 (1R). Artefactos de uso doméstico para producción de frío.,NTE INEN 2206 (4R):2019 Aparatos de refrigeración domésticos. Requisitos y métodos de ensayo","1a,5",--,--,--
777,CP-20,--,Productos,"Refrigeradores y Congeladores","RTE INEN 009:2020 (1R). Artefactos de uso doméstico para producción de frío.,NTE INEN IEC 62552:2014 Artefactos domésticos de refrigeración-Características y métodos de ensayo","1a,5",--,--,--
777,CP-21,--,Productos,"Refrigeradores y Congeladores","RTE INEN 035 (1R): 2020. Eficiencia energética en artefactos de refrigeración de uso doméstico. Reporte de consumo de energía, métodos de prueba y etiquetado","1a,5",--,--,--
777,CP-22,--,Productos,"Eficiencia energética en aparatos de refrigeración","Resolución Nro. 41012 del Ministerio de Minas y Energía de la República de Colombia del 18 de septiembre de 2015 y el Anexo General Reglamento Técnico de Etiquetado RETIQ,Resolución Nro. 40298 del 28 de marzo del 2018 publicada por el Ministerio de Minas y Energía de la República de Colombia,Resolución Nro. 40993 del 28 de septiembre del 2018 publicada por el Ministerio de Minas y Energía de la República de Colombia,Resolución Nro. 40247 de 31 de agosto de 2020 publicada por el Ministerio de Minas y Energía de la República de Colombia,Resolución Nro. 40099 de 26 de marzo de 2021 publicada por el Ministerio de Minas y Energía de la República de Colombia","1b,5",--,--,--
777,CP-23,--,Productos,"Eficiencia energética en aparatos de refrigeración","Reglamento Técnico sobre “Etiquetado de eficiencia energética para equipos energéticos”
Decreto Supremo Nº 009-2017- EM del 7 de abril del 2017: República del Perú","1b,5",--,--,--
777,CP-24,--,Productos,Neumáticos,"RTE INEN 011:2013 (1R). Neumáticos,NTE INEN 2100:2013 (2R) Neumáticos. Neumáticos tipo I y tipo IV. Requisitos","1b,5",--,--,--
777,CP-25,--,Productos,Neumáticos,"RTE INEN 011:2013 (1R). Neumáticos,NTE INEN 2099:2017 Neumáticos. Neumáticos tipo II y tipo III. Requisitos","1b,5",--,--,--
777,CP-26,--,Productos,Neumáticos,"Norma COVENIN 663:1996. Automotriz. Neumáticos para automóviles de pasajeros","1b,5",--,--,--
777,CP-27,--,Productos,Neumáticos,"Norma COVENIN 1352:1997. Automotriz. Neumáticos de uso normal en servicio de carreteras para vehículos diferentes a los automóviles de pasajeros","1b,5",--,--,--
777,CP-28,--,Productos,Neumáticos,"Resolución 481 del 04.03.2009 del Ministerio de Comercio, Industria y Turismo de Colombia","1b,5",--,--,--
777,CP-29,--,Productos,Cerámicas,"ISO 13006:2018 Baldosas cerámicas — Definiciones, clasificación, características y rotulado,NTE INEN -ISO 13006:2021 Baldosas Cerámicas - Definiciones, clasificación, caracteristicas y rotulado","1b,5",--,--,--
777,CP-30,--,Productos,Cerámicas,"Resolución 180 del 21.01.2013 del Ministerio de Comercio, Industria y Turismo de Colombia","1b,5",--,--,--
777,CP-31,--,Productos,"Perfiles de Acero","RTE INEN 018:2020 (3R) Perfiles abiertos de acero conformados en frío y perfiles de acero laminados en caliente,NTE INEN 1623:2015 (4R). Perfiles abiertos de acero conformados en frio negros o galvanizados para uso estructural. Requisitos e inspección","1a,1b,5",--,--,--
777,CP-32,--,Productos,"Perfiles de Acero","RTE INEN 018:2020 (3R) Perfiles abiertos de acero conformados en frío y perfiles de acero laminados en caliente,NTE INEN 2215:2012 (1R). Perfiles de acero laminados en caliente. Requisitos","1b,5",--,--,--
777,CP-33,--,Productos,"Perfiles de Acero","NTE INEN 2224:2013. (1R) Perfiles angulares estructurales de acero al carbono, laminados en caliente. Requisitos e inspección","1b,5",--,--,--
777,CP-34,--,Productos,"Perfiles de Acero","NTE INEN 2234:2016 (1R). Perfiles estructurales T de acero laminados en caliente. Tolerancias y métodos de ensayo","1b,5",--,--,--
777,CP-35,--,Productos,"Placas de acero","RTE INEN 025:2015 (2R). Paneles de acero,NTE INEN 2397:2015 (1R). Placa colaborante de acero. Requisitos y métodos de ensayo","1b,5",--,--,--
777,CP-36,--,Productos,"Placas de acero","RTE INEN 025:2015 (2R). Paneles de acero,NTE INEN 2221:2016 (3R) Paneles de acero. Requisitos y métodos de ensayo","1b,5",--,--,--
777,CP-37,--,Productos,"Tubos y accesorios de PVC","RTE INEN 030:2013 (1R). Tubos y accesorios plásticos,NTE INEN 1373:2017 (4R) Tubería plástica. Tubos y accesorios de poli (cloruro de vinilo) (PVC) no plastificado para presión. Requisitos","1b,5",--,--,--
777,CP-38,--,Productos,"Tubos y accesorios de PVC","RTE INEN 030:2013 (1R). Tubos y accesorios plásticos,NTE INEN 1374:2009 (2R) Tubería plástica. Tubería de PVC rígido para usos sanitarios en sistemas a gravedad. Requisitos","1b,5",--,--,--
777,CP-39,--,Productos,"Tubos y accesorios de PVC","RTE INEN 030:2013 (1R). Tubos y accesorios plásticos,NTE INEN 1869:1999 (1R) Tubos de cloruro de polivinilo rígido (PVC) para canalizaciones telefónicas y eléctricas. Requisitos","1b,5",--,--,--
777,CP-40,--,Productos,"Tubos y accesorios de PVC","RTE INEN 030:2013 (1R). Tubos y accesorios plásticos,NTE INEN 2059:2010 (4R) Tubos perfilados de PVC rígido de pared estructurada e interior lisa y accesorios para alcantarillado. Requisitos","1b,5",--,--,--
777,CP-41,--,Productos,"Tubos y accesorios de PVC","RTE INEN 030:2013 (1R). Tubos y accesorios plásticos,NTE INEN 2227:1999. Tubos de cloruro de polivinilo rígido (PVC) de pared estructurada e interior lisa y accesorios para canalizaciones telefónicas y eléctricas. Requisitos","1b,5",--,--,--
777,CP-42,--,Productos,"Tubos y accesorios de PVC","RTE INEN 030:2013 (1R). Tubos y accesorios plásticos,NTE INEN 2474:2009. Tubería plástica. Tubos de PVC rígido para uso en ventilación de sistemas sanitarios. Requisitos","1b,5",--,--,--
777,CP-43,--,Productos,"Tubos y accesorios de PVC","RTE INEN 030:2013 (1R). Tubos y accesorios plásticos,NTE INEN 2497:2009. Tubería plástica. Tubos de PVC rígido unión por rosca, para conducción de agua potable a presión. Cédula 80. Requisitos","1b,5",--,--,--
777,CP-44,--,Productos,Cementos,"RTE INEN 007: 2020 (2R) Cemento, cal y yeso para la construcción,NTE INEN 2380:2011 (2R) Cementos Hidráulicos. Requisitos de desempeño para cementos hidráulicos","1b,5",--,--,--
777,CP-45,--,Productos,Cementos,"RTE INEN 007: 2020 (2R) Cemento, cal y yeso para la construcción,NTE INEN 490:2011 (5R) Cementos Hidráulicos compuestos. Requisitos","1b,5",--,--,--
777,CP-46,--,Productos,"Aceites lubricantes","RTE INEN 014 (1R):2014. Aceites lubricantes,NTE INEN 2027:2011 (2R) Productos derivados de petróleo. Aceites lubricantes para motores de combustión interna de ciclo Otto","1b,5",--,--,--
777,CP-47,--,Productos,"Aceites lubricantes","RTE INEN 014 (1R):2014. Aceites lubricantes,NTE INEN 2030:2011. (2R) Productos derivados del petróleo. Aceites lubricantes para motores de combustión interna de ciclo de diesel. Requisitos","1b,5",--,--,--
777,CP-48,--,Productos,Leche,"RTE INEN 076:2014 (1R). Leche y productos lácteos.,NTE INEN 701:2009 (2R) Leche larga vida. Requisitos. Fe de erratas 2010-03-08","1b,5",--,--,--
777,CP-49,--,Productos,Leche,"RTE INEN 076:2014 (1R). Leche y productos lácteos.,NTE INEN 708:2009. (2R) Bebida de leche con ingredientes. Requisitos","1b,5",--,--,--
777,CP-50,--,Productos,"Vidrios de seguridad","NTE INEN 1669:2011. Vidrios de seguridad para automotores","1b,5",--,--,--
777,CP-51,--,Productos,"Vidrios de seguridad","NTE INEN 2067:1996. Vidrios de seguridad para edificaciones. Requisitos","1b,5",--,--,--
777,CP-52,--,Productos,"Vidrios de seguridad","NTE INEN 2479:2008. Paneles de vidrio templado de seguridad para uso en artefactos domésticos. Requisitos e inspección","1b,5",--,--,--
777,CP-53,--,Productos,"Vidrios de seguridad","Resolución 935 del 21.04.2008 del Ministerio de Comercio, Industria y Turismo de Colombia","1b,5",--,--,--
777,CP-54,--,Productos,"Fundiciones de hierro gris y nodular","RTE INEN 062:2014 (2R). Productos de fundiciones de hierro gris y nodular","1b,5",--,--,--
777,CP-55,--,Productos,"Fundiciones de hierro gris y nodular","NTE INEN 2499:2009 Fundición Nodular (Hierro Dúctil). Requisitos","1b,5",--,--,--
777,CP-56,--,Productos,"Fundiciones de hierro gris y nodular","NTE INEN EN 124-1:2019 Dispositivos de cubrimiento de cierre para zonas de circulación utilizadas por peatones y vehículos. parte 1: Definiciones, clasificación, principios generales de diseño, requisitos de comportamiento y métodos de ensayo","1b,5",--,--,--
777,CP-57,--,Productos,"Fundiciones de hierro gris y nodular","NTE INEN 2481:2016 (1R) Fundiciones de hierro gris. Requisitos","1b,5",--,--,--
777,CP-58,--,Productos,Alambre,"NTE INEN 2201:1998 Alambre de acero galvanizado. Requisitos e inspección","1b,5",--,--,--
777,CP-59,--,Productos,Alambre,"RTE INEN 045:2014 (2R). Productos de alambre,NTE INEN 884:2015 (3R) Productos de alambre. Alambre con púas. Requisitos","1b,5",--,--,--
777,CP-60,--,Productos,Alambre,"NTE INEN 1324:2015 (1R) Alambrón de acero al carbono para trefilar o laminar en frío. Requisitos","1b,5",--,--,--
777,CP-61,--,Productos,"Varillas de acero","NTE INEN 2167: 2020 (4R) Varillas de acero corrugadas y lisas de baja aleación para refuerzo de hormigón","1b,5",--,--,--
777,CP-62,--,Productos,"Varillas de acero","RTE INEN 16:2020 (5R) Productos de acero para refuerzo de hormigón armado","1b,5",--,--,--
777,CP-63,--,Productos,"Barras corrugadas","Resolución 1856 de 4 de octubre de 2017. Reglamento técnico aplicable a barras corrugadas de baja aleación para refuerzo de concreto en construcciones sismoresistentes que se fabriquen, importen o se comercialicen en Colombia","1b,5",--,--,--
777,CP-64,--,Productos,Clavos,"RTE INEN 045:2014 (2R). Productos de alambre,NTE INEN 626:2016 (3R) Productos de alambre. Clavos de acero de uso general. Requisitos","1b,5",--,--,--
777,CP-65,--,Productos,Grapas,"RTE INEN 045:2014 (2R). Productos de alambre,NTE INEN 625:2009 (1R) Productos de alambre. Grapas. Requisitos","1b,5",--,--,--
777,CP-66,--,Productos,"Tubos de acero","RTE INEN 027:2014. (2R) Tubos de acero al carbono soldados,NTE INEN 2415:2016 (2R) Tubos de acero al carbono soldados para aplicaciones estructurales y usos generales. Requisitos","1b,5",--,--,--
777,CP-67,--,Productos,Azúcar,"NTE INEN 259:2017 (2R) Azúcar blanco. Requisitos","1b,5",--,--,--
777,CP-68,--,Productos,Sal,"NTE INEN 57:2015 (4R) Sal para consumo humano. Requisitos","1b,5",--,--,--
777,CP-69,--,Productos,Harina,"NTE INEN 616:2015 (4R) Harina de trigo. Requisitos","1b,5",--,--,--
777,CP-70,--,Productos,Helados,"NTE INEN 706:2013 (2R) Helados. Requisitos","1b,5",--,--,--
777,CP-71,--,Productos,Gelatina,"NTE INEN 1521:2019 (3R) Mezcla en polvo para preparar postre de gelatina. Requisitos","1b,5",--,--,--
777,CP-72,--,Productos,"Aceites vegetales","NTE INEN 34:2012(2R) Mezclas de aceites vegetales comestibles. Requisitos","1b,5",--,--,--
777,CP-73,--,Productos,Margarina,"NTE INEN 276:2013. Margarina de mesa. Requisitos","1b,5",--,--,--
777,CP-74,--,Productos,"Salsa de tomate","NTE INEN 1026:2017 (3R) Salsa de tomate. Requisitos","1b,5",--,--,--
777,CP-75,--,Productos,"Pasta dental","NTE INEN 1602:2017 (1R) Productos cosméticos. Pasta dental. Requisitos.","1b,5",--,--,--
777,CP-76,--,Productos,Sanitarios,"NTE INEN 3082:2018. Aparatos Sanitarios. Requisitos y métodos de ensayo","1b,5",--,--,--
777,CP-77,--,Productos,"Cables eléctricos","NTE INEN 335:2017 (2R) Conductores de aluminio 1350 cableado concéntrico para uso eléctrico. Requisitos y métodos de ensayo.","1b,5",--,--,--
777,CP-78,--,Productos,"Transformadores eléctricos","RTE INEN 141:2018 (1R) Requisitos de seguridad y eficiencia energética para transformadores de distribución,NTE INEN 2120:1998. Transformadores. Requisitos","1b,5",--,--,--
777,CP-79,--,Productos,"Materiales de fricción","RTE INEN 053:2013 (1R) Material de fricción para el sistema de frenos de automotores,NTE INEN 2185:2017 (4R) Material de fricción para el sistema de frenos de automotores. Requisitos y métodos de ensayo.","1b,5",--,--,--
777,CP-80,--,Productos,"Materiales de fricción","Resolución 4983 del 13.12.2011 del Ministerio de Comercio Industrial y Turismo de Colombia","1b,5",--,--,--
777,CP-81,--,Productos,Pinturas,"RTE INEN 061:2013 (1R) Pinturas,NTE INEN 1544:2018 (3R) Pinturas arquitectónicas. Pintura en emulsión base agua  (látex). Requisitos","1b,5",--,--,--
777,CP-82,--,Productos,"Tableros de madera","RTE INEN 243:2014. Tableros de madera contrachapada,NTE INEN 900:2003. Tableros de madera contrachapada. Requisitos","1b,5",--,--,--
777,CP-83,--,Productos,Detergentes,"RTE INEN 088:2014. Agentes de tensión superficial,NTE INEN 843:2015 (2R) Agentes tensoactivos. Detergente en barra. Requisitos","1b,5",--,--,--
777,CP-84,--,Productos,Detergentes,"RTE INEN 088:2014. Agentes de tensión superficial,NTE INEN 849:2015 (1R) Agentes tensoactivos. Detergente en polvo para uso doméstico. Requisitos","1b,5",--,--,--
777,CP-85,--,Productos,"Tubos de polietileno","RTE INEN 030:2013 (1R). Tubos y accesorios plásticos,NTE INEN 1744:2009 (1R) Tubos de polietileno para conducción de agua a presión. Requisitos","1b,5",--,--,--
777,CP-86,--,Productos,Juguetes,"RTE INEN 089:2014 Seguridad de los Juguetes","1b,5",--,--,--
777,CP-87,--,Productos,Juguetes,"Resolución número 3388 del 2008-09-08","1b,5",--,--,--
777,CP-88,--,Productos,"Ollas de presión","RTE INEN 051 (1R):2013 Ollas a presión para uso doméstico","1b,5",--,--,--
777,CP-89,--,Productos,"Ollas de presión","Resolución número 0942 del 16 mayo 2018 Reglamento técnico RTC003MDE para Ollas de Presión de uso doméstico que se importen o produzcan nacionalmente para su comercialización en Colombia","1b,5",--,--,--
777,CP-90,--,Productos,"Conductores eléctricos","Reglamento Técnico de Instalaciones eléctrica (RETIE) Resolución 90708 del 30.08.2013, Apartado 20.2","1b,5",--,--,--
777,CP-91,--,Productos,Lámparas,"RTE INEN 036 (1R):2013 Eficiencia Energética. Lámparas fluorescentes compactas. Rangos de desempeño energético y etiquetado","1a,1b,5",--,--,--
777,CP-92,--,Productos,"Productos cerámicos","RTE INEN 010 (1R):2013 Productos cerámicos. Vajilla y demás artículos de uso doméstico, higiene o tocador,NTE INEN 1805:2019. Productos cerámicos semivitrificados y no vitrificados. Vajilla y demás artículos de uso doméstico, higiene o tocador. Requisitos","1b,5",--,--,--
777,CP-93,--,Productos,Pañales,"NTE INEN 2040:2012 (3R) Pañales absorbentes desechables. Pañales para infantes. Requisitos","1b,5",--,--,--
777,CP-94,--,Productos,Pañales,"NTE INEN 2351:2013 (2R) Productos absorbentes desechables. Incontinencia","1b,5",--,--,--
777,CP-95,--,Productos,"Toallas sanitarias","NTE INEN 2036:2013. Productos absorbentes desechables. Higiene personal femenina. Requisitos","1b,5",--,--,--
777,CP-96,--,Productos,"Láminas de asbesto cemento","RTE INEN 019:2008. Láminas onduladas de asbesto cemento,NTE INEN 1320:2016 (2R) Láminas onduladas de crisólitocemento. Requisitos e inspección","1b,5",--,--,--
777,CP-97,--,Productos,Cerámicas,"Resolución 1900 del 21.07.2008 del Ministerio de Protección Social y Ministerio de Comercio, Industria y Turismo de Colombia","1b,5",--,--,--
777,CP-98,--,Productos,"Productos cerámicos","NTC 3537:1993, Utensilios de cerámica empleados en la cocción en contacto con los alimentos.
Liberación de plomo y de cadmio. Límites permisibles y métodos de
ensayo.","1b,5",--,--,--
19,CP-99,--,Productos,"Cortadoras de pelo y similares","RTE INEN 191:2014 Cortadoras de pelo y aparatos similares",1a,--,--,--
19,CP-100,--,Productos,"Ollas a presión para uso doméstico","RTE INEN 051 (2R):2021 Ollas a presión para uso doméstico",1b,--,--,--
19,CP-101,--,Productos,Aspiradoras,"RTE INEN 197(1R):2020 Aspiradoras",1a,--,--,--
19,CP-102,--,Productos,"Aparatos para cuidado de la piel o del Cabello","RTE INEN 179:2014 Aparatos para Cuidado de la piel o del cabello",1a,--,--,--
19,CP-103,--,Productos,"Aparatos eléctricos para cocción de uso doméstico y de uso comercial","RTE INEN 208 (1R):2018 Seguridad de aparatos eléctricos para cocción",1a,--,--,--
19,CP-104,--,Productos,"Alfombras y demas revestimientos para el suelo, de material textil","RTE INEN 127 (1R):2015 Alfombras y demás revestimientos para el suelo, de material textil",1b,--,--,--
19,CP-105,--,Productos,"Aparatos eléctricos para calentar líquidos, para cocción de alimentos y similares","RTE INEN 227:2016 Aparatos eléctricos para calentar líquidos, para cocción de alimentos y similares",1a,--,--,--
19,CP-106,--,Productos,"Recipientes para uso doméstico para cocción","RTE INEN 252:2015 Recipientes de Uso Doméstico para cocción fabricados en aluminio, hierro y acero",1b,--,--,--
19,CP-107,--,Productos,"Ventiladores con motor incorporado de potencia inferior o igual a 125W","RTE INEN 112 (1R):2017 Eficiencia energética para ventiladores con motor eléctrico incorporado de potencia inferior o igual a 125 W",1a,--,--,--
19,CP-108,--,Productos,"Vajillas en vidrio y en vitrocerámica, recipientes de vidrio en contacto con alimentos","RTE INEN 200 (1R):2015 Vajillas en vidrio y en vitrocerámica, recipientes de vidrio en contacto con alimentos",1b,--,--,--
19,CP-109,--,Productos,"Artículos de vidrio, cerámica y vitrocerámica, las vajillas de vidrio, cerámica y vitrocerámica en contacto con alimentos, y los artículos de cerámica empleados en la cocción de los alimentos","Resolución 1440 del 20 de septiembre de 2021 del Ministerio de Salud y Protección Social de Colombia. Reglamento técnico para los artículos de vidrio, cerámica y vitrocerámica, las vajillas de vidrio, cerámica y vitrocerámica en contacto con alimentos, y los de cerámica empleados en la cocción de los alimentos, que se fabriquen e importen para comercialización en el territorio nacional,Resolución 734 del 09 de mayo de 2022 del Ministerio de Salud y Protección Social de Colombia. Por la cual se modifican los artículos 2, 5 y 11 de la Resolución 1440 de 20 de septiembre 2021.",1b,--,--,--
19,CP-110,--,Productos,"Máquinas eléctricas de cocina para uso doméstico y aparatos similares","RTE INEN 203 (1R):2020. Máquinas con motor para uso en la cocina",1a,--,--,--
30,CP-111,--,Productos,"Televisores con sintonizador del estándar de televisión digital ISDBT Internacional","RTE INEN 083 (1R):2017 Televisores con sintonizador del estándar de televisión digital ISDB-T Internacional. Fe de erratas 2017-06-09,ABNT NBR 15604:2007 Televisión digital terrestre — Receptores","1a,5",--,--,--
30,CP-112,--,Productos,"Seguridad y eficiencia térmica de calentadores de agua a gas","RTE INEN 109 (1R):2016. Seguridad y eficiencia térmica de calentadores de agua a gas,NTE INEN 2187:2011 Calentadores de agua a gas de paso tipo instantáneo para uso doméstico. Requisitos e inspección,NTE INEN 2603:2012 Calentadores de agua a gas. Requisitos e inspección","1b,1a,5",--,--,--
30,CP-113,--,Productos,"Eficiencia energética acondicionadores de aire sin ductos","RTE INEN 072:2017 (1R) Eficiencia energética para acondicionadores de aire sin ductos,NTE INEN 2495:2012 Eficiencia energética para acondicionadores de aire sin ductos. Requisitos",1a,--,--,--
30,CP-114,--,Productos,"Eficiencia energética de lavadoras electrodomésticas de ropa","RTE INEN 077:2013 Eficiencia energética de lavadoras electrodomésticas de ropa. Límites, métodos de ensayo y etiquetado,NTE INEN 2659:2013 Aparatos electrodomésticos y similares, lavadoras eléctricas de ropa. métodos de ensayo para el consumo de energía, el consumo de agua y la capacidad volumétrica","1a,1b",--,--,--
30,CP-115,--,Productos,"Eficiencia energética en hornos eléctricos","RTE INEN 122:2014 Eficiencia Energética en Hornos eléctricos. Reporte de consumo de energía y etiquetado",1a,--,--,--
30,CP-116,--,Productos,"Aparatos de uso doméstico para producción de frío","RTE INEN 009 (1R):2019 Aparatos de uso doméstico para producción de frío,NTE INEN 2206 (4R):2019 Aparatos de refrigeración domésticos. Requisitos y métodos de ensayo,NTE INEN IEC 62552:2014 Artefactos domésticos de refrigeración-Características y métodos de ensayo","1a,5",--,--,--
30,CP-117,--,Productos,"Eficiencia energética en artefactos de refrigeración de uso doméstico. Reporte de consumo de energía, métodos de prueba y etiquetado","RTE INEN 035 (1R): 2020. Eficiencia energética en artefactos de refrigeración de uso doméstico. Reporte de consumo de energía, métodos de prueba y etiquetado,NTE INEN 2206 (4R):2019 Aparatos de refrigeración domésticos. Requisitos y métodos de ensayo,NTE INEN IEC 62552:2014 Artefactos domésticos de refrigeración-Características y métodos de ensayo","1a,5",--,--,--
30,CP-118,--,Productos,"Artefactos de uso doméstico para cocinar que usan combustibles gaseosos","RTE INEN 005 (2R):2020 Artefactos de uso doméstico para cocinar, que utilizan combustibles gaseosos,NTE INEN 2259:2013 Artefactos de uso doméstico para cocinar, que utilizan combustibles gaseosos. Requisitos e inspección","1a,5,1b",--,--,--
30,CP-119,--,Productos,"Planchas Eléctricas","RTE INEN 147:2014 Planchas Eléctricas,IEC 60335-2-3:2012 + Amd 1:2015 Seguridad de artefactos electrodomésticos y artefactos eléctricos similares. Requisitos particulares para planchas eléctricas,IEC 60335-1:2020 CMV Household and similar electrical appliances - Safety - Part 1: General requirements","1a,5",--,--,--
